Sequencing project,Sequencing file name,DNA identifier,Tissue identifier,RAD identifier,"Sampling locality (water body, drainage, region)",Region,Site,Major Drainage,Coordinates (if available),Source,Collection date,Comments
GW AN1711171,A-026_R1_001.fastq.gz,373710,373710,A-026,Alaska,Southcentral,AlexanderCreek,,"61.736635, -150.90074",,,
GW AN1711171,B-021_R1_001.fastq.gz,373912,373912,B-021,Alaska,Southcentral,AlexanderLake,,"61.736635, -150.900740",,,
GW AN1711171,C-021_R1_001.fastq.gz,AL2016-821,401880,C-021,Alaska,Southcentral,DeshkaRiver,,"61.71497, -150.32448",,,second set reused DNA- no tissue remained
GW AN1711171,D-026_R1_001.fastq.gz,AL2016-1315,402265,D-026,Alaska,Southwest,LakeClark,,"60.182356, -154.551041",,,second set reused DNA- no tissue remained
GW AN1711171,E-026_R1_001.fastq.gz,380695,380695,E-026,Alaska,Southwest,LakeNerka,,"59.556508, -159.076097",,,
GW AN1711171,F-021_R1_001.fastq.gz,401247,401247,F-021,Alaska,Interior,Fairbanks,,"64.843409, -147.808841",,,
GW AN1711171,G-021_R1_001.fastq.gz,AL2017-155,374472,G-021,Alaska,Southcentral,OtterLake,,"61.29013,-149.74095",,,second set reused DNA- no tissue remained
GW AN1711171,H-021_R1_001.fastq.gz,AL2016-1033,374006,H-021,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,second set reused DNA- no tissue remained
GW AN1711171,H-021_R1_001.fastq.gz_topoff,AL2016-1033,374006,H-021,Alaska,Southcentral,ShellLake,,"61.959494, -151.450148",,,second set reused DNA- no tissue remained
GW AN1711171,I-026_R1_001.fastq.gz,402915,402915,I-026,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW AN1711171,I-027_R1_001.fastq.gz,402932,402932,I-027,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW AN1711171,I-028_R1_001.fastq.gz,402933,402933,I-028,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW AN1711171,I-029_R1_001.fastq.gz,402934,402934,I-029,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW AN1711171,I-030_R1_001.fastq.gz,402935,402935,I-030,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW AN1711171,I-031_R1_001.fastq.gz,402936,402936,I-031,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW AN1711171,I-032_R1_001.fastq.gz,402937,402937,I-032,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW AN1711171,I-033_R1_001.fastq.gz,402938,402938,I-033,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW AN1711171,I-034_R1_001.fastq.gz,402939,402939,I-034,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW AN1711171,I-035_R1_001.fastq.gz,402941,402941,I-035,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW AN1711171,I-036_R1_001.fastq.gz,402942,402942,I-036,Alaska,Southcentral,StormyLake,,"60.773717, -151.052584",,,
GW AN1711171,J-021_R1_001.fastq.gz,400011,400011,J-021,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-022_R1_001.fastq.gz,400012,400012,J-022,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-022_R1_001.fastq.gz_topoff,400012,400012,J-022,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-023_R1_001.fastq.gz,400013,400013,J-023,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-024_R1_001.fastq.gz,400014,400014,J-024,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-025_R1_001.fastq.gz,400015,400015,J-025,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-026_R1_001.fastq.gz,400016,400016,J-026,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-027_R1_001.fastq.gz,400017,400017,J-027,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-028_R1_001.fastq.gz,400018,400018,J-028,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-029_R1_001.fastq.gz,400019,400019,J-029,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-030_R1_001.fastq.gz,400021,400021,J-030,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-031_R1_001.fastq.gz,400022,400022,J-031,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-032_R1_001.fastq.gz,400023,400023,J-032,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-033_R1_001.fastq.gz,400026,400026,J-033,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-034_R1_001.fastq.gz,400029,400029,J-034,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-035_R1_001.fastq.gz,400030,400030,J-035,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-036_R1_001.fastq.gz,400063,400063,J-036,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-037_R1_001.fastq.gz,400083,400083,J-037,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-038_R1_001.fastq.gz,400085,400085,J-038,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-039_R1_001.fastq.gz,400090,400090,J-039,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-040_R1_001.fastq.gz,400091,400091,J-040,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-041_R1_001.fastq.gz,400092,400092,J-041,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-042_R1_001.fastq.gz,400094,400094,J-042,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-043_R1_001.fastq.gz,400095,400095,J-043,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-044_R1_001.fastq.gz,400097,400097,J-044,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-045_R1_001.fastq.gz,400098,400098,J-045,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-046_R1_001.fastq.gz,400101,400101,J-046,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-047_R1_001.fastq.gz,400102,400102,J-047,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-048_R1_001.fastq.gz,400103,400103,J-048,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,J-049_R1_001.fastq.gz,400093,400093,J-049,Alaska,Southeast,AntlinRiver,,,,,
GW AN1711171,O-001_R1_001.fastq.gz,163,163,O-001,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-002_R1_001.fastq.gz,164,164,O-002,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-003_R1_001.fastq.gz,165,165,O-003,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-004_R1_001.fastq.gz,166,166,O-004,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-005_R1_001.fastq.gz,167,167,O-005,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-006_R1_001.fastq.gz,168,168,O-006,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-007_R1_001.fastq.gz,179,179,O-007,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-007_R1_001.fastq.gz_topoff,179,179,O-007,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-008_R1_001.fastq.gz,180,180,O-008,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-009_R1_001.fastq.gz,181,181,O-009,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-010_R1_001.fastq.gz,183,183,O-010,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-011_R1_001.fastq.gz,184,184,O-011,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-012_R1_001.fastq.gz,185,185,O-012,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-013_R1_001.fastq.gz,186,186,O-013,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-014_R1_001.fastq.gz,187,187,O-014,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-015_R1_001.fastq.gz,188,188,O-015,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-016_R1_001.fastq.gz,402183,402183,O-016,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-017_R1_001.fastq.gz,402184,402184,O-017,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-018_R1_001.fastq.gz,402185,402185,O-018,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-019_R1_001.fastq.gz,402186,402186,O-019,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-020_R1_001.fastq.gz,402187,402187,O-020,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-021_R1_001.fastq.gz,402189,402189,O-021,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-022_R1_001.fastq.gz,402190,402190,O-022,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-023_R1_001.fastq.gz,402191,402191,O-023,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-024_R1_001.fastq.gz,402194,402194,O-024,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-025_R1_001.fastq.gz,402196,402196,O-025,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,O-025_R1_001.fastq.gz_topoff,402196,402196,O-025,Alaska,Southcentral,AndersonLake,,"61.620425, -149.338466",,,
GW AN1711171,P-001_R1_001.fastq.gz,204,204,P-001,Alaska,Southcentral,BulchitnaLake,,"61.935431,-150.9204957",,,
GW AN1711171,P-002_R1_001.fastq.gz,205,205,P-002,Alaska,Southcentral,BulchitnaLake,,"61.935431,-150.9204957",,,
GW AN1711171,P-003_R1_001.fastq.gz,206,206,P-003,Alaska,Southcentral,BulchitnaLake,,"61.935431,-150.9204957",,,
GW AN1711171,P-004_R1_001.fastq.gz,207,207,P-004,Alaska,Southcentral,BulchitnaLake,,"61.935431,-150.9204957",,,
GW AN1711171,P-005_R1_001.fastq.gz,208,208,P-005,Alaska,Southcentral,BulchitnaLake,,"61.935431,-150.9204957",,,
GW AN1711171,P-006_R1_001.fastq.gz,209,209,P-006,Alaska,Southcentral,BulchitnaLake,,"61.935431,-150.9204957",,,
GW AN1711171,P-007_R1_001.fastq.gz,210,210,P-007,Alaska,Southcentral,BulchitnaLake,,"61.935431,-150.9204957",,,
