GW,Project,Sequencing file name,DNA identifier,Tissue identifier,RAD identifier,"Sampling locality (water body, drainage, region)",Region,Site,Major Drainage,Latitude,Longitude,Source,Collection date,Comments,String,Coverage
GW,AN1711171,I-027_R1_001.fastq.gz,402932,402932,I-027,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA,data/AN1711171/I-027_sorted.bam,1.50794
GW,AN1711171,I-028_R1_001.fastq.gz,402933,402933,I-028,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA,data/AN1711171/I-028_sorted.bam,1.33059
GW,AN1711171,I-029_R1_001.fastq.gz,402934,402934,I-029,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA,data/AN1711171/I-029_sorted.bam,1.47319
GW,AN1711171,I-030_R1_001.fastq.gz,402935,402935,I-030,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA,data/AN1711171/I-030_sorted.bam,1.48628
GW,AN1711171,I-031_R1_001.fastq.gz,402936,402936,I-031,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA,data/AN1711171/I-031_sorted.bam,1.49006
GW,AN1711171,I-032_R1_001.fastq.gz,402937,402937,I-032,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA,data/AN1711171/I-032_sorted.bam,1.70641
GW,AN1711171,I-033_R1_001.fastq.gz,402938,402938,I-033,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA,data/AN1711171/I-033_sorted.bam,1.41926
GW,AN1711171,I-034_R1_001.fastq.gz,402939,402939,I-034,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA,data/AN1711171/I-034_sorted.bam,1.52356
GW,AN1711171,I-035_R1_001.fastq.gz,402941,402941,I-035,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA,data/AN1711171/I-035_sorted.bam,1.60289
GW,AN1711171,I-036_R1_001.fastq.gz,402942,402942,I-036,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA,data/AN1711171/I-036_sorted.bam,1.51478
GW,AN1711171,J-021_R1_001.fastq.gz,400011,400011,J-021,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-021_sorted.bam,1.46728
GW,AN1711171,J-023_R1_001.fastq.gz,400013,400013,J-023,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-023_sorted.bam,1.04824
GW,AN1711171,J-025_R1_001.fastq.gz,400015,400015,J-025,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-025_sorted.bam,1.2183
GW,AN1711171,J-026_R1_001.fastq.gz,400016,400016,J-026,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-026_sorted.bam,1.31398
GW,AN1711171,J-027_R1_001.fastq.gz,400017,400017,J-027,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-027_sorted.bam,1.20753
GW,AN1711171,J-028_R1_001.fastq.gz,400018,400018,J-028,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-028_sorted.bam,1.42414
GW,AN1711171,J-029_R1_001.fastq.gz,400019,400019,J-029,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-029_sorted.bam,1.18726
GW,AN1711171,J-030_R1_001.fastq.gz,400021,400021,J-030,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-030_sorted.bam,1.05941
GW,AN1711171,J-031_R1_001.fastq.gz,400022,400022,J-031,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-031_sorted.bam,1.30105
GW,AN1711171,J-032_R1_001.fastq.gz,400023,400023,J-032,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-032_sorted.bam,1.07962
GW,AN1711171,J-033_R1_001.fastq.gz,400026,400026,J-033,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-033_sorted.bam,1.17816
GW,AN1711171,J-034_R1_001.fastq.gz,400029,400029,J-034,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-034_sorted.bam,1.23966
GW,AN1711171,J-035_R1_001.fastq.gz,400030,400030,J-035,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-035_sorted.bam,1.30972
GW,AN1711171,J-036_R1_001.fastq.gz,400063,400063,J-036,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-036_sorted.bam,1.28057
GW,AN1711171,J-037_R1_001.fastq.gz,400083,400083,J-037,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-037_sorted.bam,1.35536
GW,AN1711171,J-038_R1_001.fastq.gz,400085,400085,J-038,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-038_sorted.bam,1.35339
GW,AN1711171,J-039_R1_001.fastq.gz,400090,400090,J-039,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-039_sorted.bam,1.33141
GW,AN1711171,J-040_R1_001.fastq.gz,400091,400091,J-040,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-040_sorted.bam,1.57513
GW,AN1711171,J-041_R1_001.fastq.gz,400092,400092,J-041,Alaska,Southeast,AntlinRiver,NA,59.492422,-139.156677,NA,NA,NA,data/AN1711171/J-041_sorted.bam,1.33947
