String,Region,Site,RAD identifier
data/BK1703222/F-001_S116_sorted.bam,Interior,Fairbanks,F-001_S116
data/BK1703222/F-012_S127_sorted.bam,Interior,Fairbanks,F-012_S127
data/AN1711171/S-013_sorted.bam,Interior,YukonFlats,S-013
data/AN1711171/Q-002_sorted.bam,Interior,MintoFlats,Q-002
data/AN1711171/Q-001_sorted.bam,Interior,MintoFlats,Q-001
data/BK1703222/F-002_S117_sorted.bam,Interior,Fairbanks,F-002_S117
data/AN1711171/S-010_sorted.bam,Interior,YukonFlats,S-010
data/AN1711171/V-006_sorted.bam,Midwest,EagleLake,V-006
data/AN1711171/V-007_sorted.bam,Midwest,EagleLake,V-007
data/AN1711171/V-002_sorted.bam,Midwest,EagleLake,V-002
data/AN1711171/V-001_sorted.bam,Midwest,EagleLake,V-001
data/AN1711171/V-009_sorted.bam,Midwest,EagleLake,V-009
data/AN1711171/V-005_sorted.bam,Midwest,EagleLake,V-005
data/AN1711171/V-003_sorted.bam,Midwest,EagleLake,V-003
data/BK1703222/B-008_S33_sorted.bam,Southcentral,AlexanderLake,B-008_S33
data/BK1703222/I-006_S181_sorted.bam,Southcentral,StormyLake,I-006_S181
data/AN1711171/G-021_sorted.bam,Southcentral,OtterLake,G-021
data/AN1711171/T-011_sorted.bam,Southcentral,YentnaIndianCreek,T-011
data/BK1703222/A-012_S12_sorted.bam,Southcentral,AlexanderCreek,A-012_S12
data/BK1703222/I-015_S190_sorted.bam,Southcentral,StormyLake,I-015_S190
data/BK1703222/I-004_S179_sorted.bam,Southcentral,StormyLake,I-004_S179
data/AN1711171/J-043_sorted.bam,Southeast,AntlinRiver,J-043
data/AN1711171/J-040_sorted.bam,Southeast,AntlinRiver,J-040
data/AN1711171/J-028_sorted.bam,Southeast,AntlinRiver,J-028
data/AN1711171/J-023_sorted.bam,Southeast,AntlinRiver,J-023
data/AN1711171/J-044_sorted.bam,Southeast,AntlinRiver,J-044
data/AN1711171/J-041_sorted.bam,Southeast,AntlinRiver,J-041
data/AN1711171/J-046_sorted.bam,Southeast,AntlinRiver,J-046
data/BK1703222/E-025_S115_sorted.bam,Southwest,LakeNerka,E-025_S115
data/BK1703222/D-025_S90_sorted.bam,Southwest,LakeClark,D-025_S90
data/BK1703222/E-005_S95_sorted.bam,Southwest,LakeNerka,E-005_S95
data/BK1703222/D-015_S80_sorted.bam,Southwest,LakeClark,D-015_S80
data/BK1703222/E-019_S109_sorted.bam,Southwest,LakeNerka,E-019_S109
data/BK1703222/E-013_S103_sorted.bam,Southwest,LakeNerka,E-013_S103
data/BK1703222/D-019_S84_sorted.bam,Southwest,LakeClark,D-019_S84
data/outgroup/SRR10377381_sorted.bam,Western Europe,Western Europe,NA
data/outgroup/SRR10377391_sorted.bam,Western Europe,Western Europe,NA
data/outgroup/SRR10377402_sorted.bam,Western Europe,Western Europe,NA
data/outgroup/SRR10377396_sorted.bam,Western Europe,Western Europe,NA
data/outgroup/SRR10377397_sorted.bam,Western Europe,Western Europe,NA
data/outgroup/SRR10377393_sorted.bam,Western Europe,Western Europe,NA
data/outgroup/SRR10377392_sorted.bam,Western Europe,Western Europe,NA
