String,Region,Site,RAD identifier,DataType
data/BK1703222/F-001_S116_sorted.bam,Interior,Fairbanks,F-001_S116,RAD
data/BK1703222/F-012_S127_sorted.bam,Interior,Fairbanks,F-012_S127,RAD
data/AN1711171/S-013_sorted.bam,Interior,YukonFlats,S-013,RAD
data/AN1711171/Q-002_sorted.bam,Interior,MintoFlats,Q-002,RAD
data/AN1711171/Q-001_sorted.bam,Interior,MintoFlats,Q-001,RAD
data/BK1703222/F-002_S117_sorted.bam,Interior,Fairbanks,F-002_S117,RAD
data/AN1711171/S-010_sorted.bam,Interior,YukonFlats,S-010,RAD
data/AN1711171/V-006_sorted.bam,Midwest,EagleLake,V-006,RAD
data/AN1711171/V-007_sorted.bam,Midwest,EagleLake,V-007,RAD
data/AN1711171/V-002_sorted.bam,Midwest,EagleLake,V-002,RAD
data/AN1711171/V-001_sorted.bam,Midwest,EagleLake,V-001,RAD
data/AN1711171/V-009_sorted.bam,Midwest,EagleLake,V-009,RAD
data/AN1711171/V-005_sorted.bam,Midwest,EagleLake,V-005,RAD
data/AN1711171/V-003_sorted.bam,Midwest,EagleLake,V-003,RAD
data/BK1703222/B-008_S33_sorted.bam,Southcentral,AlexanderLake,B-008_S33,RAD
data/BK1703222/I-006_S181_sorted.bam,Southcentral,StormyLake,I-006_S181,RAD
data/AN1711171/G-021_sorted.bam,Southcentral,OtterLake,G-021,RAD
data/AN1711171/T-011_sorted.bam,Southcentral,YentnaIndianCreek,T-011,RAD
data/BK1703222/A-012_S12_sorted.bam,Southcentral,AlexanderCreek,A-012_S12,RAD
data/BK1703222/I-015_S190_sorted.bam,Southcentral,StormyLake,I-015_S190,RAD
data/BK1703222/I-004_S179_sorted.bam,Southcentral,StormyLake,I-004_S179,RAD
data/AN1711171/J-043_sorted.bam,Southeast,AntlinRiver,J-043,RAD
data/AN1711171/J-040_sorted.bam,Southeast,AntlinRiver,J-040,RAD
data/AN1711171/J-028_sorted.bam,Southeast,AntlinRiver,J-028,RAD
data/AN1711171/J-023_sorted.bam,Southeast,AntlinRiver,J-023,RAD
data/AN1711171/J-044_sorted.bam,Southeast,AntlinRiver,J-044,RAD
data/AN1711171/J-041_sorted.bam,Southeast,AntlinRiver,J-041,RAD
data/AN1711171/J-046_sorted.bam,Southeast,AntlinRiver,J-046,RAD
data/BK1703222/E-025_S115_sorted.bam,Southwest,LakeNerka,E-025_S115,RAD
data/BK1703222/D-025_S90_sorted.bam,Southwest,LakeClark,D-025_S90,RAD
data/BK1703222/E-005_S95_sorted.bam,Southwest,LakeNerka,E-005_S95,RAD
data/BK1703222/D-015_S80_sorted.bam,Southwest,LakeClark,D-015_S80,RAD
data/BK1703222/E-019_S109_sorted.bam,Southwest,LakeNerka,E-019_S109,RAD
data/BK1703222/E-013_S103_sorted.bam,Southwest,LakeNerka,E-013_S103,RAD
data/BK1703222/D-019_S84_sorted.bam,Southwest,LakeClark,D-019_S84,RAD
data/wgs/Fair1_sorted.bam,Interior,Fairbanks,Fair1,WGS
data/wgs/Fair2_sorted.bam,Interior,Fairbanks,Fair2,WGS
data/wgs/Fair3_sorted.bam,Interior,Fairbanks,Fair3,WGS
data/wgs/Palm1_sorted.bam,BritishColumbia,PalmerLake,Palm1,WGS
data/wgs/Palm2_sorted.bam,BritishColumbia,PalmerLake,Palm2,WGS
data/wgs/Palm3_sorted.bam,BritishColumbia,PalmerLake,Palm3,WGS
data/wgs/Yuk1_sorted.bam,YukonTerritory,YukonRiver,Yukon1,WGS
data/wgs/Yuk2_sorted.bam,YukonTerritory,YukonRiver,Yukon2,WGS
data/wgs/Yuk3_sorted.bam,YukonTerritory,YukonRiver,Yukon3,WGS
