X1,vcf_name,index,Sequencing project,Sequencing file name,DNA identifier,Tissue identifier,RAD identifier,"Sampling locality (water body, drainage, region)",Region,Site,Major Drainage,Latitude,Longitude,Source,Collection date,Comments
data/BK1703222/I-012_S187_sorted.bam,I-012_S187,1,GW BK1703222,I-012_S187_R1_001.fastq.gz,AL2016-1123,402926,I-012_S187,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA
data/BK1703222/I-022_S197_sorted.bam,I-022_S197,2,GW BK1703222,I-022_S197_R1_001.fastq.gz,AL2016-1196,404056,I-022_S197,Alaska,Southcentral,TinyLake,NA,60.519884,-150.992988,NA,NA,NA
data/AN1711171/I-034_sorted.bam,I-034,3,GW AN1711171,I-034_R1_001.fastq.gz,402939,402939,I-034,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA
data/BK1703222/I-003_S178_sorted.bam,I-003_S178,4,GW BK1703222,I-003_S178_R1_001.fastq.gz,AL2016-1102,402905,I-003_S178,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA
data/AN1711171/I-031_sorted.bam,I-031,5,GW AN1711171,I-031_R1_001.fastq.gz,402936,402936,I-031,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA
data/BK1703222/I-018_S193_sorted.bam,I-018_S193,6,GW BK1703222,I-018_S193_R1_001.fastq.gz,AL2016-1192,404052,I-018_S193,Alaska,Southcentral,TinyLake,NA,60.519884,-150.992988,NA,NA,NA
data/BK1703222/I-008_S183_sorted.bam,I-008_S183,7,GW BK1703222,I-008_S183_R1_001.fastq.gz,AL2016-1116,402919,I-008_S183,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA
data/BK1703222/I-024_S199_sorted.bam,I-024_S199,8,GW BK1703222,I-024_S199_R1_001.fastq.gz,AL2016-1198,404058,I-024_S199,Alaska,Southcentral,TinyLake,NA,60.519884,-150.992988,NA,NA,NA
data/AN1711171/I-033_sorted.bam,I-033,9,GW AN1711171,I-033_R1_001.fastq.gz,402938,402938,I-033,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA
data/BK1703222/I-016_S191_sorted.bam,I-016_S191,10,GW BK1703222,I-016_S191_R1_001.fastq.gz,AL2016-1190,404050,I-016_S191,Alaska,Southcentral,TinyLake,NA,60.519884,-150.992988,NA,NA,NA
data/AN1711171/I-028_sorted.bam,I-028,11,GW AN1711171,I-028_R1_001.fastq.gz,402933,402933,I-028,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA
data/BK1703222/I-009_S184_sorted.bam,I-009_S184,12,GW BK1703222,I-009_S184_R1_001.fastq.gz,AL2016-1119,402922,I-009_S184,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA
data/BK1703222/I-021_S196_sorted.bam,I-021_S196,13,GW BK1703222,I-021_S196_R1_001.fastq.gz,AL2016-1195,404055,I-021_S196,Alaska,Southcentral,TinyLake,NA,60.519884,-150.992988,NA,NA,NA
data/AN1711171/I-030_sorted.bam,I-030,14,GW AN1711171,I-030_R1_001.fastq.gz,402935,402935,I-030,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA
data/BK1703222/I-006_S181_sorted.bam,I-006_S181,15,GW BK1703222,I-006_S181_R1_001.fastq.gz,AL2016-1111,402914,I-006_S181,Alaska,Southcentral,StormyLake,NA,60.773717,-151.052584,NA,NA,NA
data/AN1711171/R-004_sorted.bam,R-004,16,GW AN1711171,R-004_R1_001.fastq.gz,4,4,R-004,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA
data/BK1703222/H-009_S164_sorted.bam,H-009_S164,17,GW BK1703222,H-009_S164_R1_001.fastq.gz,AL2016-1047,374023,H-009_S164,Alaska,Southcentral,ShellLake,NA,61.959494,-151.450148,NA,NA,NA
data/AN1711171/O-004_sorted.bam,O-004,18,GW AN1711171,O-004_R1_001.fastq.gz,166,166,O-004,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA
data/BK1703222/H-013_S168_sorted.bam,H-013_S168,19,GW BK1703222,H-013_S168_R1_001.fastq.gz,AL2017-138,374036,H-013_S168,Alaska,Southcentral,ShellLake,NA,61.959494,-151.450148,NA,NA,NA
data/AN1711171/R-031_sorted.bam,R-031,20,GW AN1711171,R-031_R1_001.fastq.gz,42,42,R-031,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA
data/BK1703222/C-009_S54_sorted.bam,C-009_S54,21,GW BK1703222,C-009_S54_R1_001.fastq.gz,AL2016-827,401886,C-009_S54,Alaska,Southcentral,DeshkaRiver,NA,61.71497,-150.32448,NA,NA,NA
data/AN1711171/T-014_sorted.bam,T-014,22,GW AN1711171,T-014_R1_001.fastq.gz,373765,373765,T-014,Alaska,Southcentral,YentnaIndianCreek,NA,NA,NA,NA,NA,NA
data/BK1703222/B-005_S30_sorted.bam,B-005_S30,23,GW BK1703222,B-005_S30_R1_001.fastq.gz,AL2016-800,373901,B-005_S30,Alaska,Southcentral,AlexanderLake,NA,61.736635,-150.90074,NA,NA,NA
data/AN1711171/O-013_sorted.bam,O-013,24,GW AN1711171,O-013_R1_001.fastq.gz,186,186,O-013,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA
data/AN1711171/R-025_sorted.bam,R-025,25,GW AN1711171,R-025_R1_001.fastq.gz,36,36,R-025,Alaska,Southcentral,Tyonek,NA,61.145748,-151.1266057,NA,NA,NA
data/BK1703222/G-015_S150_sorted.bam,G-015_S150,26,GW BK1703222,G-015_S150_R1_001.fastq.gz,AL2017-160,374457,G-015_S150,Alaska,Southcentral,OtterLake,NA,61.29013,-149.74095,NA,NA,NA
data/AN1711171/O-007_sorted.bam,O-007,27,GW AN1711171,O-007_R1_001.fastq.gz,179,179,O-007,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA
data/AN1711171/O-003_sorted.bam,O-003,28,GW AN1711171,O-003_R1_001.fastq.gz,165,165,O-003,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA
data/AN1711171/O-010_sorted.bam,O-010,29,GW AN1711171,O-010_R1_001.fastq.gz,183,183,O-010,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA
data/AN1711171/O-001_sorted.bam,O-001,30,GW AN1711171,O-001_R1_001.fastq.gz,163,163,O-001,Alaska,Southcentral,AndersonLake,NA,61.620425,-149.338466,NA,NA,NA
data/AN1711171/P-003_sorted.bam,P-003,31,GW AN1711171,P-003_R1_001.fastq.gz,206,206,P-003,Alaska,Southcentral,BulchitnaLake,NA,61.935431,-150.9204957,NA,NA,NA
data/AN1711171/B-021_sorted.bam,B-021,32,GW AN1711171,B-021_R1_001.fastq.gz,373912,373912,B-021,Alaska,Southcentral,AlexanderLake,NA,61.736635,-150.90074,NA,NA,NA
data/AN1711171/T-005_sorted.bam,T-005,33,GW AN1711171,T-005_R1_001.fastq.gz,373752,373752,T-005,Alaska,Southcentral,YentnaIndianCreek,NA,NA,NA,NA,NA,NA
data/AN1711171/J-021_sorted.bam,J-021,34,GW AN1711171,J-021_R1_001.fastq.gz,400011,400011,J-021,Alaska,Southeast,AntlinRiver,NA,NA,NA,NA,NA,NA
data/AN1711171/J-023_sorted.bam,J-023,35,GW AN1711171,J-023_R1_001.fastq.gz,400013,400013,J-023,Alaska,Southeast,AntlinRiver,NA,NA,NA,NA,NA,NA
data/AN1711171/J-024_sorted.bam,J-024,36,GW AN1711171,J-024_R1_001.fastq.gz,400014,400014,J-024,Alaska,Southeast,AntlinRiver,NA,NA,NA,NA,NA,NA
data/AN1711171/J-025_sorted.bam,J-025,37,GW AN1711171,J-025_R1_001.fastq.gz,400015,400015,J-025,Alaska,Southeast,AntlinRiver,NA,NA,NA,NA,NA,NA
data/AN1711171/J-026_sorted.bam,J-026,38,GW AN1711171,J-026_R1_001.fastq.gz,400016,400016,J-026,Alaska,Southeast,AntlinRiver,NA,NA,NA,NA,NA,NA
data/AN1711171/J-027_sorted.bam,J-027,39,GW AN1711171,J-027_R1_001.fastq.gz,400017,400017,J-027,Alaska,Southeast,AntlinRiver,NA,NA,NA,NA,NA,NA
data/AN1711171/J-028_sorted.bam,J-028,40,GW AN1711171,J-028_R1_001.fastq.gz,400018,400018,J-028,Alaska,Southeast,AntlinRiver,NA,NA,NA,NA,NA,NA
data/AN1711171/J-029_sorted.bam,J-029,41,GW AN1711171,J-029_R1_001.fastq.gz,400019,400019,J-029,Alaska,Southeast,AntlinRiver,NA,NA,NA,NA,NA,NA
data/AN1711171/J-030_sorted.bam,J-030,42,GW AN1711171,J-030_R1_001.fastq.gz,400021,400021,J-030,Alaska,Southeast,AntlinRiver,NA,NA,NA,NA,NA,NA
data/AN1711171/J-031_sorted.bam,J-031,43,GW AN1711171,J-031_R1_001.fastq.gz,400022,400022,J-031,Alaska,Southeast,AntlinRiver,NA,NA,NA,NA,NA,NA
data/AN1711171/J-032_sorted.bam,J-032,44,GW AN1711171,J-032_R1_001.fastq.gz,400023,400023,J-032,Alaska,Southeast,AntlinRiver,NA,NA,NA,NA,NA,NA
data/AN1711171/J-033_sorted.bam,J-033,45,GW AN1711171,J-033_R1_001.fastq.gz,400026,400026,J-033,Alaska,Southeast,AntlinRiver,NA,NA,NA,NA,NA,NA
data/AN1711171/J-034_sorted.bam,J-034,46,GW AN1711171,J-034_R1_001.fastq.gz,400029,400029,J-034,Alaska,Southeast,AntlinRiver,NA,NA,NA,NA,NA,NA
data/AN1711171/J-035_sorted.bam,J-035,47,GW AN1711171,J-035_R1_001.fastq.gz,400030,400030,J-035,Alaska,Southeast,AntlinRiver,NA,NA,NA,NA,NA,NA
data/AN1711171/J-036_sorted.bam,J-036,48,GW AN1711171,J-036_R1_001.fastq.gz,400063,400063,J-036,Alaska,Southeast,AntlinRiver,NA,NA,NA,NA,NA,NA
data/AN1711171/J-037_sorted.bam,J-037,49,GW AN1711171,J-037_R1_001.fastq.gz,400083,400083,J-037,Alaska,Southeast,AntlinRiver,NA,NA,NA,NA,NA,NA
data/AN1711171/J-038_sorted.bam,J-038,50,GW AN1711171,J-038_R1_001.fastq.gz,400085,400085,J-038,Alaska,Southeast,AntlinRiver,NA,NA,NA,NA,NA,NA
