chromosome	Population	Tajima's D	Watterson	group	Pi
1	Antlen River	-2.264672	0.000714738	Southeast	0.000272318
2	Antlen River	-2.30849	0.000623035	Southeast	0.000229686
3	Antlen River	-2.337846	0.000671635	Southeast	0.000242087
4	Antlen River	-2.405954	0.000708964	Southeast	0.000242315
5	Antlen River	-2.036025	0.000715321	Southeast	0.000317054
6	Antlen River	-2.228134	0.000658486	Southeast	0.000257033
7	Antlen River	-1.746376	0.000671024	Southeast	0.000350775
8	Antlen River	-2.390132	0.000664562	Southeast	0.000230191
9	Antlen River	-2.109184	0.000747206	Southeast	0.000315789
10	Antlen River	-2.158308	0.000646151	Southeast	0.000264581
11	Antlen River	-1.816339	0.000652991	Southeast	0.000328821
12	Antlen River	-2.332137	0.000667598	Southeast	0.000241872
13	Antlen River	-2.397647	0.000662984	Southeast	0.000228336
14	Antlen River	-2.269237	0.000692144	Southeast	0.000262675
15	Antlen River	-2.233697	0.00066408	Southeast	0.000258395
16	Antlen River	-2.35891	0.000674273	Southeast	0.000239276
17	Antlen River	-2.140414	0.000682057	Southeast	0.000282968
18	Antlen River	-2.001744	0.000741987	Southeast	0.000335728
19	Antlen River	-2.23573	0.00068817	Southeast	0.000267603
20	Antlen River	-2.044475	0.000680793	Southeast	0.000300353
21	Antlen River	-2.421067	0.000613852	Southeast	0.000206975
22	Antlen River	-2.2755	0.000657236	Southeast	0.000247722
23	Antlen River	-1.942604	0.00063918	Southeast	0.000299308
24	Antlen River	-1.979573	0.000707046	Southeast	0.000324002
25	Antlen River	-2.227533	0.000740721	Southeast	0.000288889
1	Yukon Flats	-1.698494	0.000587808	Interior	0.000338118
2	Yukon Flats	-2.028142	0.00044143	Interior	0.000217262
3	Yukon Flats	-1.440917	0.000616495	Interior	0.000394203
4	Yukon Flats	-1.711782	0.000569984	Interior	0.000325706
5	Yukon Flats	-1.059434	0.000641115	Interior	0.000471199
6	Yukon Flats	-1.578978	0.000514017	Interior	0.000310762
7	Yukon Flats	-1.164366	0.000570021	Interior	0.000404071
8	Yukon Flats	-1.695682	0.000584628	Interior	0.000336611
9	Yukon Flats	-1.127655	0.000681535	Interior	0.000489088
10	Yukon Flats	-1.401176	0.000629609	Interior	0.000408863
11	Yukon Flats	-1.167401	0.000574368	Interior	0.000406708
12	Yukon Flats	-1.302998	0.000585387	Interior	0.00039458
13	Yukon Flats	-1.557895	0.000516203	Interior	0.000314962
14	Yukon Flats	-1.57456	0.000520559	Interior	0.000315424
15	Yukon Flats	-1.57306	0.000544183	Interior	0.000329948
16	Yukon Flats	-1.742309	0.000498583	Interior	0.000281114
17	Yukon Flats	-1.244263	0.000591967	Interior	0.000407752
18	Yukon Flats	-1.606931	0.000600226	Interior	0.0003588
19	Yukon Flats	-1.74503	0.000533586	Interior	0.000300651
20	Yukon Flats	-1.51348	0.00055072	Interior	0.000342253
21	Yukon Flats	-1.69963	0.000450331	Interior	0.000258474
22	Yukon Flats	-1.582553	0.00052913	Interior	0.000319279
23	Yukon Flats	-1.383595	0.000564294	Interior	0.000368785
24	Yukon Flats	-0.792163	0.000711573	Interior	0.000570508
