@HD	VN:1.3	SO:coordinate
@SQ	SN:NC_025968.3	LN:40371802
@SQ	SN:NC_025969.3	LN:36854581
@SQ	SN:NC_025970.3	LN:29826154
@SQ	SN:NC_025971.3	LN:26943076
@SQ	SN:NC_025972.3	LN:33107657
@SQ	SN:NC_025973.3	LN:28932462
@SQ	SN:NC_025974.3	LN:46052510
@SQ	SN:NC_025975.3	LN:32939842
@SQ	SN:NC_025976.3	LN:20775306
@SQ	SN:NC_025977.3	LN:26897606
@SQ	SN:NC_025978.3	LN:44859740
@SQ	SN:NC_025979.3	LN:35272727
@SQ	SN:NC_025980.3	LN:36369518
@SQ	SN:NC_025981.3	LN:34043612
@SQ	SN:NC_025982.3	LN:32003092
@SQ	SN:NC_025983.3	LN:32734063
@SQ	SN:NC_025984.3	LN:38925024
@SQ	SN:NC_025985.3	LN:26030928
@SQ	SN:NC_025986.3	LN:39684913
@SQ	SN:NC_025987.3	LN:42629069
@SQ	SN:NC_025988.3	LN:24691485
@SQ	SN:NC_025989.3	LN:20609816
@SQ	SN:NC_025990.3	LN:23871453
@SQ	SN:NC_025991.3	LN:22381654
@SQ	SN:NC_025992.3	LN:19657286
@SQ	SN:NW_017858648.1	LN:1175
@SQ	SN:NW_017858649.1	LN:60558
@SQ	SN:NW_017858650.1	LN:96132
@SQ	SN:NW_017858651.1	LN:66395
@SQ	SN:NW_017858652.1	LN:262164
@SQ	SN:NW_017858653.1	LN:4228
@SQ	SN:NW_017858654.1	LN:124673
@SQ	SN:NW_017858655.1	LN:113058
@SQ	SN:NW_017858656.1	LN:1393
@SQ	SN:NW_017858657.1	LN:5691
@SQ	SN:NW_017858658.1	LN:1532
@SQ	SN:NW_017858659.1	LN:5732
@SQ	SN:NW_017858660.1	LN:1152
@SQ	SN:NW_017858661.1	LN:58219
@SQ	SN:NW_017858662.1	LN:9631
@SQ	SN:NW_017858663.1	LN:26082
@SQ	SN:NW_017858664.1	LN:112365
@SQ	SN:NW_017858665.1	LN:169958
@SQ	SN:NW_017858666.1	LN:1038
@SQ	SN:NW_017858667.1	LN:1051
@SQ	SN:NW_017858668.1	LN:23990
@SQ	SN:NW_017858669.1	LN:1052
@SQ	SN:NW_017858670.1	LN:420760
@SQ	SN:NW_017858671.1	LN:2573
@SQ	SN:NW_017858672.1	LN:1350
@SQ	SN:NW_017858673.1	LN:2910
@SQ	SN:NW_017858674.1	LN:37128
@SQ	SN:NW_017858675.1	LN:50402
@SQ	SN:NW_017858676.1	LN:354466
@SQ	SN:NW_017858677.1	LN:6876
@SQ	SN:NW_017858678.1	LN:3028
@SQ	SN:NW_017858679.1	LN:18054
@SQ	SN:NW_017858680.1	LN:537753
@SQ	SN:NW_017858681.1	LN:250743
@SQ	SN:NW_017858682.1	LN:2428
@SQ	SN:NW_017858683.1	LN:1142
@SQ	SN:NW_017858684.1	LN:625567
@SQ	SN:NW_017858685.1	LN:217720
@SQ	SN:NW_017858686.1	LN:54839
@SQ	SN:NW_017858687.1	LN:4021
@SQ	SN:NW_017858688.1	LN:1199
@SQ	SN:NW_017858689.1	LN:1376
@SQ	SN:NW_017858690.1	LN:1249780
@SQ	SN:NW_017858691.1	LN:27811
@SQ	SN:NW_017858692.1	LN:2047
@SQ	SN:NW_017858693.1	LN:90877
@SQ	SN:NW_017858694.1	LN:1477
@SQ	SN:NW_017858695.1	LN:18471
@SQ	SN:NW_017858696.1	LN:3098
@SQ	SN:NW_017858697.1	LN:19798
@SQ	SN:NW_017858698.1	LN:12489
@SQ	SN:NW_017858699.1	LN:5100
@SQ	SN:NW_017858700.1	LN:1254
@SQ	SN:NW_017858701.1	LN:225288
@SQ	SN:NW_017858702.1	LN:4900
@SQ	SN:NW_017858703.1	LN:26830
@SQ	SN:NW_017858704.1	LN:6054
@SQ	SN:NW_017858705.1	LN:293093
@SQ	SN:NW_017858706.1	LN:1174
@SQ	SN:NW_017858707.1	LN:1933
@SQ	SN:NW_017858708.1	LN:2347
@SQ	SN:NW_017858709.1	LN:127164
@SQ	SN:NW_017858710.1	LN:3746
@SQ	SN:NW_017858711.1	LN:230383
@SQ	SN:NW_017858712.1	LN:952
@SQ	SN:NW_017858713.1	LN:70411
@SQ	SN:NW_017858714.1	LN:1526
@SQ	SN:NW_017858715.1	LN:150254
